,Date-Time,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Side,BuyV,SellV
31622,2023-11-15 15:03:15.135488225,0.18,2,0.18,2,0.19,43,Sell,0,2
31623,2023-11-15 15:06:01.740144992,0.18,1,0.17,9,0.18,2,Buy,1,0
31624,2023-11-15 15:12:21.295560621,0.17,1,0.17,9,0.18,8,Sell,0,1
31625,2023-11-15 15:12:23.765723759,0.17,4,0.17,8,0.18,54,Sell,0,4
31626,2023-11-15 15:12:25.700234631,0.17,1,0.17,4,0.18,53,Sell,0,1
31627,2023-11-15 15:12:28.405343509,0.17,1,0.17,3,0.18,7,Sell,0,1
31628,2023-11-15 15:12:28.405343509,0.17,1,0.17,2,0.18,6,Sell,0,1
31629,2023-11-15 15:12:28.405343509,0.17,1,0.17,1,0.18,5,Sell,0,1
31630,2023-11-15 15:12:30.050439353,0.17,1,0.16,9,0.17,1,Buy,1,0
31631,2023-11-15 15:13:58.000047483,0.16,1,0.16,1,0.17,2,Sell,0,1
31632,2023-11-15 15:15:58.935132667,0.16,1,0.16,10,0.17,15,Sell,0,1
31633,2023-11-15 15:16:36.455272625,0.16,1,0.16,9,0.17,63,Sell,0,1
31634,2023-11-15 15:16:36.455272625,0.16,3,0.16,8,0.17,63,Sell,0,3
31635,2023-11-15 15:16:36.455272625,0.16,5,0.16,5,0.17,61,Sell,0,5
31636,2023-11-15 15:16:42.244908173,0.15,3,0.15,9,0.16,43,Sell,0,3
31637,2023-11-15 15:17:13.330560043,0.15,1,0.15,6,0.16,5,Sell,0,1
31638,2023-11-15 15:17:48.289944608,0.15,1,0.15,5,0.16,6,Sell,0,1
31639,2023-11-15 15:17:48.289944608,0.15,4,0.15,4,0.16,7,Sell,0,4
31640,2023-11-15 15:21:38.349842308,0.15,1,0.15,10,0.16,14,Sell,0,1
31641,2023-11-15 15:21:55.245628794,0.15,7,0.15,9,0.16,3,Sell,0,7
31642,2023-11-15 15:21:55.250647441,0.15,2,0.15,2,0.16,3,Sell,0,2
31643,2023-11-15 15:31:16.725503862,0.16,1,0.16,1,0.17,1,Sell,0,1
31644,2023-11-15 15:33:04.165740588,0.16,1,0.15,18,0.16,1,Buy,1,0
31645,2023-11-15 15:33:42.010617749,0.17,1,0.15,98,0.17,1,Buy,1,0
31646,2023-11-15 15:47:48.590713615,0.18,1,0.17,39,0.18,1,Buy,1,0
31647,2023-11-15 15:48:29.800062558,0.19,1,0.18,2,0.19,1,Buy,1,0
31648,2023-11-15 16:07:02.670698559,0.19,1,0.18,4,0.19,1,Buy,1,0
31649,2023-11-15 16:12:36.115749223,0.18,2,0.18,2,0.19,4,Sell,0,2
31650,2023-11-15 16:26:58.185856345,0.19,1,0.18,46,0.19,1,Buy,1,0
31651,2023-11-15 16:33:35.325217206,0.17,1,0.17,6,0.19,14,Sell,0,1
31652,2023-11-15 16:39:12.509904304,0.18,1,0.17,91,0.18,1,Buy,1,0
31653,2023-11-15 16:39:12.555631523,0.19,1,0.18,5,0.19,1,Buy,1,0
31654,2023-11-15 16:44:37.540773283,0.2,1,0.19,76,0.2,2,Buy,1,0
31655,2023-11-15 16:45:11.885097249,0.2,1,0.19,24,0.2,1,Buy,1,0
31656,2023-11-15 17:00:38.815331402,0.21,2,0.2,62,0.21,10,Buy,2,0
31657,2023-11-15 17:00:38.815331402,0.21,2,0.2,62,0.21,8,Buy,2,0
31658,2023-11-15 17:00:54.970385670,0.2,1,0.2,1,0.21,11,Sell,0,1
31659,2023-11-15 17:01:22.570226887,0.2,1,0.19,29,0.2,1,Buy,1,0
31660,2023-11-15 17:03:25.685844876,0.21,5,0.2,52,0.21,5,Buy,5,0
31661,2023-11-15 17:03:25.685844876,0.22,21,0.2,52,0.21,5,Buy,21,0
31662,2023-11-15 17:03:25.725501269,0.23,2,0.22,132,0.23,4,Buy,2,0
31663,2023-11-15 17:03:25.725501269,0.23,1,0.22,130,0.23,2,Buy,1,0
31664,2023-11-15 17:03:25.725501269,0.23,1,0.22,129,0.23,1,Buy,1,0
31665,2023-11-15 17:04:04.845739688,0.24,11,0.23,11,0.24,15,Buy,11,0
31666,2023-11-15 17:04:08.705785200,0.23,2,0.23,107,0.24,11,Sell,0,2
31667,2023-11-15 17:04:09.105052801,0.24,9,0.23,103,0.24,9,Buy,9,0
31668,2023-11-15 17:04:09.110018607,0.24,1,0.24,2,0.25,17,Sell,0,1
31669,2023-11-15 17:04:35.450377418,0.24,1,0.24,23,0.25,18,Sell,0,1
31670,2023-11-15 17:05:23.425750957,0.25,21,0.23,1,0.25,79,Buy,21,0
31671,2023-11-15 17:05:23.425750957,0.26,24,0.23,1,0.25,79,Buy,24,0
31672,2023-11-15 17:05:23.425750957,0.27,29,0.23,1,0.25,79,Buy,29,0
31673,2023-11-15 17:05:23.425750957,0.28,31,0.23,1,0.25,79,Buy,31,0
31674,2023-11-15 17:05:59.525245613,0.27,1,0.24,13,0.26,51,Buy,1,0
31675,2023-11-15 17:06:36.740880649,0.27,1,0.26,22,0.27,6,Buy,1,0
31676,2023-11-15 17:06:41.049928673,0.27,4,0.26,32,0.27,5,Buy,4,0
31677,2023-11-15 17:06:41.054951791,0.27,1,0.26,33,0.27,1,Buy,1,0
31678,2023-11-15 17:07:12.120524848,0.28,1,0.27,20,0.28,20,Buy,1,0
31679,2023-11-15 17:07:12.120524848,0.28,1,0.27,21,0.28,19,Buy,1,0
31680,2023-11-15 17:07:12.160349848,0.28,1,0.27,29,0.28,18,Buy,1,0
31681,2023-11-15 17:07:12.160349848,0.28,1,0.27,12,0.28,17,Buy,1,0
31682,2023-11-15 17:07:12.195233969,0.28,1,0.27,27,0.28,16,Buy,1,0
31683,2023-11-15 17:07:13.375019257,0.28,15,0.27,42,0.28,15,Buy,15,0
31684,2023-11-15 17:07:13.375019257,0.29,4,0.27,42,0.28,15,Buy,4,0
31685,2023-11-15 17:07:17.135531748,0.29,31,0.28,31,0.29,26,Buy,31,0
31686,2023-11-15 17:07:24.305098838,0.3,14,0.29,22,0.3,26,Buy,14,0
31687,2023-11-15 17:07:24.310015424,0.3,6,0.29,23,0.3,12,Buy,6,0
31688,2023-11-15 17:07:24.310015424,0.3,6,0.29,23,0.3,11,Buy,6,0
31689,2023-11-15 17:07:43.924974219,0.29,2,0.29,5,0.3,10,Sell,0,2
31690,2023-11-15 17:07:43.924974219,0.29,2,0.29,3,0.3,11,Sell,0,2
31691,2023-11-15 17:07:43.924974219,0.29,1,0.29,1,0.3,11,Sell,0,1
31692,2023-11-15 17:10:50.965696567,0.26,1,0.25,3,0.26,1,Buy,1,0
31693,2023-11-15 17:10:57.610531082,0.25,1,0.25,1,0.28,47,Sell,0,1
31694,2023-11-15 17:13:01.625045835,0.26,1,0.25,1,0.26,1,Buy,1,0
31695,2023-11-15 17:18:46.325715124,0.23,1,0.22,3,0.23,1,Buy,1,0
31696,2023-11-15 17:18:48.950114358,0.23,2,0.23,4,0.24,34,Sell,0,2
31697,2023-11-15 17:18:48.950114358,0.23,2,0.23,2,0.24,34,Sell,0,2
31698,2023-11-15 17:18:53.789888246,0.23,1,0.22,6,0.23,1,Buy,1,0
31699,2023-11-15 17:19:05.110160942,0.24,1,0.23,4,0.24,1,Buy,1,0
31700,2023-11-15 17:25:11.184965454,0.23,1,0.23,4,0.24,5,Sell,0,1
31701,2023-11-15 17:26:41.595001804,0.23,2,0.23,3,0.24,9,Sell,0,2
31702,2023-11-15 17:26:41.599938414,0.23,1,0.23,1,0.24,7,Sell,0,1
31703,2023-11-15 17:26:58.285673978,0.22,1,0.22,1,0.23,3,Sell,0,1
31704,2023-11-15 17:27:00.750881296,0.22,1,0.22,1,0.23,81,Sell,0,1
31705,2023-11-15 17:27:42.325339580,0.22,1,0.22,1,0.23,13,Sell,0,1
31706,2023-11-15 17:28:52.665718871,0.24,1,0.24,1,0.25,29,Sell,0,1
31707,2023-11-15 17:33:23.170869095,0.26,1,0.25,37,0.26,1,Buy,1,0
31708,2023-11-15 17:33:41.320168538,0.27,1,0.26,30,0.27,1,Buy,1,0
31709,2023-11-15 17:35:00.310386476,0.27,1,0.26,1,0.27,1,Buy,1,0
31710,2023-11-15 17:35:15.790413294,0.28,1,0.27,52,0.28,1,Buy,1,0
