Timestamp (UTC),Open,High,Low,Close
2024-01-25 18:30:00,189.100,189.450,188.950,189.300
2024-01-25 19:00:00,189.325,189.325,189.275,189.300
2024-01-26 14:30:00,189.200,189.625,189.150,189.625
2024-01-26 15:00:00,189.500,190.000,189.475,190.000
2024-01-26 15:30:00,190.000,190.000,189.700,189.900
2024-01-26 16:00:00,190.000,190.075,189.950,189.975
2024-01-26 16:30:00,189.950,190.350,189.850,190.350
2024-01-26 17:00:00,190.325,190.900,190.250,190.425
2024-01-26 17:30:00,190.550,190.575,190.350,190.500
2024-01-26 18:00:00,190.425,190.425,190.225,190.225
2024-01-26 18:30:00,190.200,190.325,190.050,190.300
2024-01-26 19:00:00,190.300,190.325,190.225,190.250
2024-01-29 14:30:00,190.000,190.375,189.700,189.825
2024-01-29 15:00:00,189.725,189.900,189.625,189.700
2024-01-29 15:30:00,189.675,190.200,189.675,190.075
2024-01-29 16:00:00,190.250,190.625,190.250,190.625
2024-01-29 16:30:00,190.750,190.900,190.750,190.900
2024-01-29 17:00:00,190.875,191.150,190.875,190.975
2024-01-29 17:30:00,190.975,191.025,190.300,190.300
2024-01-29 18:00:00,190.225,190.250,190.000,190.000
2024-01-29 18:30:00,190.025,190.025,189.675,189.700
2024-01-29 19:00:00,189.575,189.650,189.575,189.600
2024-01-30 14:30:00,188.975,190.000,188.975,189.650
2024-01-30 15:00:00,189.650,190.075,189.475,189.975
2024-01-30 15:30:00,189.950,190.200,189.925,190.000
2024-01-30 16:00:00,190.075,190.425,190.075,190.375
2024-01-30 16:30:00,190.500,190.500,190.300,190.300
2024-01-30 17:00:00,190.350,190.450,190.300,190.325
2024-01-30 17:30:00,190.375,190.400,190.275,190.275
2024-01-30 18:00:00,190.500,190.500,190.400,190.450
2024-01-30 18:30:00,190.750,190.775,190.550,190.600
2024-01-30 19:00:00,190.500,190.500,190.475,190.500
2024-01-31 14:30:00,190.375,190.475,190.250,190.325
2024-01-31 15:00:00,190.325,190.400,190.175,190.400
2024-01-31 15:30:00,190.325,190.375,190.175,190.300
2024-01-31 16:00:00,190.300,190.600,190.275,190.500
2024-01-31 16:30:00,190.625,190.625,190.400,190.400
2024-01-31 17:00:00,190.425,190.700,190.400,190.625
2024-01-31 17:30:00,190.800,190.800,190.550,190.600
2024-01-31 18:00:00,190.750,190.800,190.700,190.800
2024-01-31 18:30:00,190.625,190.625,190.300,190.500
2024-01-31 19:00:00,190.500,190.500,190.400,190.450
2024-02-01 14:30:00,190.875,190.975,190.750,190.875
2024-02-01 15:00:00,190.900,191.500,190.850,191.475
2024-02-01 15:30:00,191.525,191.575,191.300,191.400
2024-02-01 16:00:00,191.325,191.400,191.175,191.175
2024-02-01 16:30:00,191.450,191.700,191.425,191.675
2024-02-01 17:00:00,191.650,192.000,191.475,191.975
2024-02-01 17:30:00,192.000,192.425,191.975,192.275
2024-02-01 18:00:00,192.325,192.325,192.200,192.250
2024-02-01 18:30:00,192.225,192.225,192.050,192.125
2024-02-01 19:00:00,192.050,192.125,191.975,192.025
2024-02-02 14:30:00,192.000,192.250,191.800,192.250
2024-02-02 15:00:00,192.150,192.750,192.150,192.700
2024-02-02 15:30:00,192.625,192.625,192.300,192.625
2024-02-02 16:00:00,192.675,192.675,192.150,192.150
2024-02-02 16:30:00,192.075,192.200,192.075,192.100
2024-02-02 17:00:00,192.050,192.125,191.975,191.975
2024-02-02 17:30:00,192.050,192.050,191.875,191.950
2024-02-02 18:00:00,192.050,192.150,192.025,192.075
2024-02-02 18:30:00,192.075,192.175,192.000,192.175
2024-02-02 19:00:00,192.250,192.400,192.225,192.375
2024-02-05 14:30:00,192.200,192.350,191.825,191.825
2024-02-05 15:00:00,191.800,191.800,191.050,191.250
2024-02-05 15:30:00,191.250,191.525,191.100,191.450
2024-02-05 16:00:00,191.450,191.600,191.450,191.475
2024-02-05 16:30:00,191.525,191.525,191.000,191.000
2024-02-05 17:00:00,191.300,191.300,190.875,191.025
2024-02-05 17:30:00,191.125,191.125,190.975,190.975
2024-02-05 18:00:00,191.025,191.025,190.800,190.800
2024-02-05 18:30:00,190.800,190.975,190.800,190.975
2024-02-05 19:00:00,190.975,190.975,190.875,190.925
2024-02-06 14:30:00,190.925,191.250,190.650,191.250
2024-02-06 15:00:00,191.250,191.325,191.075,191.075
2024-02-06 15:30:00,191.150,191.400,191.150,191.400
2024-02-06 16:00:00,191.325,191.650,191.325,191.550
2024-02-06 16:30:00,191.725,192.275,191.625,192.150
2024-02-06 17:00:00,192.100,192.100,191.500,192.050
2024-02-06 17:30:00,192.200,192.425,192.200,192.225
2024-02-06 18:00:00,192.025,192.300,191.950,192.300
2024-02-06 18:30:00,192.175,192.475,192.050,192.100
2024-02-06 19:00:00,192.025,192.050,191.900,192.000
2024-02-07 14:30:00,191.925,192.200,191.800,192.000
2024-02-07 15:00:00,191.975,192.150,191.650,191.675
2024-02-07 15:30:00,191.575,191.800,191.550,191.675
2024-02-07 16:00:00,191.775,191.950,191.675,191.850
2024-02-07 16:30:00,191.675,192.175,191.675,191.925
2024-02-07 17:00:00,191.700,191.900,191.675,191.675
2024-02-07 17:30:00,191.600,191.600,191.050,191.225
2024-02-07 18:00:00,191.125,191.550,191.100,191.550
2024-02-07 18:30:00,191.450,191.575,191.175,191.475
2024-02-07 19:00:00,191.625,191.625,191.525,191.525
2024-02-08 14:30:00,191.825,192.500,191.800,192.450
2024-02-08 15:00:00,192.500,192.675,192.500,192.650
2024-02-08 15:30:00,192.525,192.625,192.425,192.450
2024-02-08 16:00:00,192.450,192.550,192.400,192.550
2024-02-08 16:30:00,192.525,192.525,192.125,192.250
2024-02-08 17:00:00,192.175,192.175,191.675,191.675
2024-02-08 17:30:00,191.875,192.125,191.875,192.050
2024-02-08 18:00:00,192.100,192.100,191.950,191.950
2024-02-08 18:30:00,191.925,192.075,191.700,191.900
2024-02-08 19:00:00,191.825,191.825,191.700,191.700
2024-02-09 14:30:00,191.725,192.225,191.625,191.625
2024-02-09 15:00:00,191.700,191.700,191.225,191.500
2024-02-09 15:30:00,191.425,191.800,191.400,191.725
2024-02-09 16:00:00,191.650,192.100,191.550,191.900
2024-02-09 16:30:00,191.750,191.975,191.750,191.925
2024-02-09 17:00:00,191.875,191.950,191.800,191.900
2024-02-09 17:30:00,191.825,191.825,191.750,191.750
2024-02-09 18:00:00,191.525,191.575,191.525,191.550
2024-02-09 18:30:00,191.550,191.825,191.550,191.675
2024-02-09 19:00:00,191.700,191.775,191.475,191.525
2024-02-12 14:30:00,191.725,191.975,191.600,191.975
2024-02-12 15:00:00,191.950,192.325,191.950,192.000
2024-02-12 15:30:00,191.925,191.950,191.725,191.800
2024-02-12 16:00:00,191.725,191.850,191.625,191.625
2024-02-12 16:30:00,191.625,191.750,191.450,191.475
2024-02-12 17:00:00,191.475,191.675,191.425,191.550
2024-02-12 17:30:00,191.225,191.700,191.225,191.675
2024-02-12 18:00:00,191.675,191.700,191.525,191.525
2024-02-12 18:30:00,191.625,192.000,191.575,192.000
2024-02-12 19:00:00,192.000,192.000,191.800,191.850
2024-02-13 14:30:00,191.325,191.450,191.000,191.250
2024-02-13 15:00:00,191.175,191.250,191.075,191.125
2024-02-13 15:30:00,191.150,191.275,191.100,191.250
2024-02-13 16:00:00,191.275,191.325,191.200,191.200
2024-02-13 16:30:00,191.225,191.550,191.225,191.250
2024-02-13 17:00:00,191.525,191.600,191.425,191.425
2024-02-13 17:30:00,191.450,191.625,191.400,191.450
2024-02-13 18:00:00,191.500,191.525,191.275,191.325
2024-02-13 18:30:00,191.175,191.375,191.175,191.225
2024-02-13 19:00:00,191.075,191.175,191.075,191.100
2024-02-14 14:30:00,191.050,191.050,189.825,189.925
2024-02-14 15:00:00,189.825,190.250,189.825,190.250
2024-02-14 15:30:00,189.850,189.850,189.025,189.150
2024-02-14 16:00:00,189.475,189.750,189.475,189.750
2024-02-14 16:30:00,189.625,189.625,189.500,189.500
2024-02-14 17:00:00,189.500,189.500,188.700,189.125
2024-02-14 17:30:00,189.025,189.175,189.025,189.075
2024-02-14 18:00:00,189.100,189.500,189.100,189.400
2024-02-14 18:30:00,189.425,189.650,189.425,189.600
2024-02-14 19:00:00,189.550,189.550,189.450,189.500
2024-02-15 14:30:00,189.500,189.875,189.025,189.550
2024-02-15 15:00:00,189.475,189.475,188.575,188.625
2024-02-15 15:30:00,188.750,189.100,188.600,189.025
2024-02-15 16:00:00,188.975,189.275,188.925,189.250
2024-02-15 16:30:00,189.225,189.800,189.150,189.675
2024-02-15 17:00:00,189.800,189.950,189.800,189.800
