Contract1,Contract2,Best,Average,Best Month,January,February,March,April,May,June,July,August,September,October,November,December
ZC Mar25-Dec25,ZC Mar25-May25,0.12,0.09,November,0.1,0.06,0.05,0.09,0.09,0.11,0.09,0.08,0.09,0.05,0.12,0.1
ZC Mar25-Dec25,ZC Mar25-Jul25,0.21,0.1,October,0.07,0.05,0.05,0.1,0.09,0.09,0.09,0.1,0.1,0.21,0.11,0.11
ZC Mar25-Dec25,ZC Dec25-Jul26,0.22,0.12,August,0.04,0.13,0.08,0.12,0.16,0.15,0.19,0.22,0.12,0.04,0.12,0.1
ZC Mar25-Dec25,ZC Sep25-Dec25,0.07,0.05,July,0.07,0.06,0.03,0.05,0.06,0.07,0.07,0.05,0.03,0.03,0.05,0.05
ZC Mar25-Dec25,ZC Dec25-Mar26,0.21,0.14,September,0.13,0.18,0.13,0.14,0.16,0.06,0.17,0.2,0.21,0.15,0.12,0.06
ZC Mar25-Dec25,ZC Jul25-May26,0.15,0.08,November,0.04,0.08,0.1,0.13,0.06,0.08,0.06,0.06,0.14,0.07,0.15,0.04
ZC Mar25-Dec25,ZC Mar25-Sep25,0.09,0.06,June,0.05,0.04,0.06,0.09,0.06,0.09,0.06,0.07,0.04,0.06,0.04,0.06
ZC Mar25-Dec25,ZC May26-Jul26,0.14,0.07,June,0.04,0.05,0.04,0.05,0.03,0.14,0.08,0.11,0.06,0.06,0.06,0.06
ZC Mar25-Dec25,ZC Sep25-Mar26,0.1,0.07,April,0.06,0.05,0.04,0.1,0.1,0.07,0.04,0.07,0.08,0.1,0.07,0.05
ZC Mar25-Dec25,ZC Sep25-May26,0.15,0.1,October,0.08,0.08,0.06,0.08,0.14,0.11,0.1,0.12,0.09,0.15,0.12,0.07
ZC Mar25-Dec25,ZC May25-Sep25,0.09,0.05,May,0.04,0.03,0.04,0.05,0.09,0.09,0.06,0.08,0.03,0.04,0.04,0.03
ZC Mar25-Dec25,ZC May25-Dec25,0.11,0.05,July,0.03,0.03,0.03,0.06,0.07,0.11,0.11,0.08,0.03,0.03,0.03,0.03
ZC Mar25-May25,ZC Mar25-Jul25,0.11,0.06,June,0.02,0.04,0.06,0.08,0.08,0.11,0.09,0.05,,0.08,0.04,0.05
ZC Mar25-May25,ZC Dec25-Jul26,0.15,0.09,April,0.04,0.11,0.06,0.15,0.09,0.14,0.13,0.1,0.08,0.04,0.06,0.05
ZC Mar25-May25,ZC Sep25-Dec25,0.18,0.1,May,0.12,0.07,0.06,0.16,0.18,0.12,0.12,0.08,0.04,0.06,0.05,0.1
ZC Mar25-May25,ZC Dec25-Mar26,0.2,0.13,August,0.09,0.07,0.08,0.18,0.18,0.17,0.13,0.2,0.17,0.07,0.15,0.05
ZC Mar25-May25,ZC Jul25-May26,0.21,0.1,March,0.1,0.16,0.21,0.12,0.09,0.09,0.06,0.08,0.05,0.08,0.12,0.05
ZC Mar25-May25,ZC Mar25-Sep25,0.12,0.07,January,0.12,0.04,0.05,0.08,0.08,0.11,0.09,0.07,0.04,0.05,0.06,0.08
ZC Mar25-May25,ZC May26-Jul26,0.13,0.07,May,0.05,0.04,0.05,0.12,0.13,0.09,0.09,0.06,0.05,0.04,,0.03
ZC Mar25-May25,ZC Sep25-Mar26,0.13,0.06,April,0.06,0.08,0.04,0.13,0.05,0.08,0.06,0.06,0.04,0.03,0.04,0.05
ZC Mar25-May25,ZC Sep25-May26,0.11,0.08,January,0.11,0.06,0.05,0.08,0.08,0.07,0.06,0.06,0.07,0.06,0.08,0.11
ZC Mar25-May25,ZC May25-Sep25,0.23,0.1,May,0.1,0.04,0.05,0.13,0.23,0.11,0.1,0.07,0.11,0.03,0.12,0.07
ZC Mar25-May25,ZC May25-Dec25,0.18,0.09,May,0.16,0.03,0.04,0.14,0.18,0.11,0.08,0.06,0.1,0.05,0.06,0.04
ZC Mar25-Jul25,ZC Dec25-Jul26,0.17,0.09,June,0.04,0.11,0.05,0.07,0.17,0.17,0.1,0.1,0.06,0.08,0.04,0.05
ZC Mar25-Jul25,ZC Sep25-Dec25,0.14,0.08,May,0.04,0.04,0.04,0.12,0.14,0.08,0.13,0.06,0.05,0.12,0.04,0.08
ZC Mar25-Jul25,ZC Dec25-Mar26,0.22,0.14,August,0.09,0.16,0.08,0.22,0.17,0.18,0.15,0.22,0.18,0.06,0.14,0.05
ZC Mar25-Jul25,ZC Jul25-May26,0.17,0.1,October,0.07,0.06,0.09,0.13,0.08,0.09,0.08,0.08,0.08,0.17,0.08,0.16
ZC Mar25-Jul25,ZC Mar25-Sep25,0.2,0.08,October,0.06,0.05,0.05,0.09,0.1,0.08,0.08,0.11,0.08,0.2,0.05,0.08
ZC Mar25-Jul25,ZC May26-Jul26,0.15,0.07,May,0.05,0.03,0.05,0.1,0.15,0.1,0.07,0.06,0.05,0.11,,0.04
ZC Mar25-Jul25,ZC Sep25-Mar26,0.1,0.07,April,0.06,0.06,0.05,0.1,0.07,0.04,0.05,0.09,0.05,0.09,0.09,0.05
ZC Mar25-Jul25,ZC Sep25-May26,0.13,0.08,July,0.09,0.06,0.06,0.11,0.08,0.09,0.13,0.06,,0.07,,0.08
ZC Mar25-Jul25,ZC May25-Sep25,0.23,0.1,May,0.03,0.03,0.05,0.11,0.23,0.09,0.1,0.1,0.1,0.14,0.06,0.14
ZC Mar25-Jul25,ZC May25-Dec25,0.2,0.1,May,0.04,0.03,0.03,0.18,0.2,0.11,0.09,0.09,0.13,0.09,0.12,0.09
ZC Dec25-Jul26,ZC Sep25-Dec25,0.17,0.11,June,,0.1,0.08,0.16,0.13,0.17,0.1,0.09,0.04,0.1,0.13,0.09
ZC Dec25-Jul26,ZC Dec25-Mar26,0.17,0.11,September,0.07,0.09,0.1,0.16,0.14,0.16,0.06,0.08,0.17,0.07,0.12,0.05
ZC Dec25-Jul26,ZC Jul25-May26,0.28,0.16,August,0.07,0.19,0.07,0.13,0.11,0.14,0.17,0.28,0.2,0.19,0.24,0.09
ZC Dec25-Jul26,ZC Mar25-Sep25,0.22,0.13,August,0.08,0.1,0.05,0.14,0.17,0.13,0.18,0.22,0.15,0.08,0.12,0.13
ZC Dec25-Jul26,ZC May26-Jul26,0.11,0.07,September,0.06,0.08,0.07,0.05,0.09,0.1,0.09,0.06,0.11,0.07,0.04,0.05
